0 0 0
0 0 1
1 -1 1
2 -2 1
3 -2 0
4 -2 -1
5 -2 -2
6 -1 -2
7 0 -2
8 1 -2
9 2 -2
10 2 -1
11 2 0
12 2 1
13 2 2
14 2 3
15 1 3
16 0 3
17 -1 3
18 -2 3
19 -3 3
20 -4 3
21 -4 2
22 -4 1
23 -4 0
24 -4 -1
25 -4 -2
26 -4 -3
27 -4 -4
28 -3 -4
29 -2 -4
30 -1 -4
31 0 -4
32 1 -4
33 2 -4
34 3 -4
35 4 -4
36 4 -3
37 4 -2
38 4 -1
39 4 0
40 4 1
41 4 2
42 4 3
43 4 4
44 4 5
45 3 5
46 2 5
47 1 5
48 0 5
49 -1 5
50 -2 5
51 -3 5
52 -4 5
53 -5 5
54 -6 5
55 -6 4
56 -6 3
57 -6 2
58 -6 1
59 -6 0
60 -6 -1
61 -6 -2
62 -6 -3
63 -6 -4
64 -6 -5
65 -6 -6
66 -5 -6
67 -4 -6
68 -3 -6
69 -2 -6
70 -1 -6
71 0 -6
72 1 -6
73 2 -6
74 3 -6
75 4 -6
76 5 -6
77 6 -6
78 6 -5
79 6 -4
80 6 -3
81 6 -2
82 6 -1
83 6 0
84 6 1
85 6 2
86 6 3
87 6 4
88 6 5
89 6 6
90 6 7
91 5 7
92 4 7
93 3 7
94 2 7
95 1 7
96 0 7
97 -1 7
98 -2 7
99 -3 7
100 -4 7
101 -5 7
102 -6 7
103 -7 7
104 -8 7
105 -8 6
106 -8 5
107 -8 4
108 -8 3
109 -8 2
110 -8 1
111 -8 0
112 -8 -1
113 -8 -2
114 -8 -3
115 -8 -4
116 -8 -5
117 -8 -6
118 -8 -7
119 -8 -8
120 -7 -8
121 -6 -8
122 -5 -8
123 -4 -8
124 -3 -8
125 -2 -8
126 -1 -8
127 0 -8
128 1 -8
129 2 -8
130 3 -8
131 4 -8
132 5 -8
133 6 -8
134 7 -8
135 8 -8
136 8 -7
137 8 -6
138 8 -5
139 8 -4
140 8 -3
141 8 -2
142 8 -1
143 8 0
144 8 1
145 8 2
146 8 3
147 8 4
148 8 5
149 8 6
150 8 7
151 8 8
152 8 9
153 7 9
154 6 9
155 5 9
156 4 9
157 3 9
158 2 9
159 1 9
160 0 9
161 -1 9
162 -2 9
163 -3 9
164 -4 9
165 -5 9
166 -6 9
167 -7 9
168 -8 9
169 -9 9
170 -10 9
171 -10 8
172 -10 7
173 -10 6
174 -10 5
175 -10 4
176 -10 3
177 -10 2
178 -10 1
179 -10 0
180 -10 -1
181 -10 -2
182 -10 -3
183 -10 -4
184 -10 -5
185 -10 -6
186 -10 -7
187 -10 -8
188 -10 -9
189 -10 -10
190 -9 -10
191 -8 -10
192 -7 -10
193 -6 -10
194 -5 -10
195 -4 -10
196 -3 -10
197 -2 -10
198 -1 -10
199 0 -10
200 1 -10
201 2 -10
202 3 -10
203 4 -10
204 5 -10
205 6 -10
206 7 -10
207 8 -10
208 9 -10
209 10 -10
210 10 -9
211 10 -8
212 10 -7
213 10 -6
214 10 -5
215 10 -4
216 10 -3
217 10 -2
218 10 -1
219 10 0
220 10 1
221 10 2
222 10 3
223 10 4
224 10 5
225 10 6
226 10 7
227 10 8
228 10 9
229 10 10
230 10 11
231 9 11
232 8 11
233 7 11
234 6 11
235 5 11
236 4 11
237 3 11
238 2 11
239 1 11
240 0 11
241 -1 11
242 -2 11
243 -3 11
244 -4 11
245 -5 11
246 -6 11
247 -7 11
248 -8 11
249 -9 11
250 -10 11
251 -11 11
252 -12 11
253 -12 10
254 -12 9
255 -12 8
256 -12 7
257 -12 6
258 -12 5
259 -12 4
260 -12 3
261 -12 2
262 -12 1
263 -12 0
264 -12 -1
265 -12 -2
266 -12 -3
267 -12 -4
268 -12 -5
269 -12 -6
270 -12 -7
271 -12 -8
272 -12 -9
273 -12 -10
274 -12 -11
275 -12 -12
276 -11 -12
277 -10 -12
278 -9 -12
279 -8 -12
280 -7 -12
281 -6 -12
282 -5 -12
283 -4 -12
284 -3 -12
285 -2 -12
286 -1 -12
287 0 -12
288 1 -12
289 2 -12
290 3 -12
291 4 -12
292 5 -12
293 6 -12
294 7 -12
295 8 -12
296 9 -12
297 10 -12
298 11 -12
299 12 -12
300 12 -11
301 12 -10
302 12 -9
303 12 -8
304 12 -7
305 12 -6
306 12 -5
307 12 -4
308 12 -3
309 12 -2
310 12 -1
311 12 0
312 12 1
313 12 2
314 12 3
315 12 4
316 12 5
317 12 6
318 12 7
319 12 8
320 12 9
321 12 10
322 12 11
323 12 12
324 12 13
325 11 13
326 10 13
327 9 13
328 8 13
329 7 13
330 6 13
331 5 13
332 4 13
333 3 13
334 2 13
335 1 13
336 0 13
337 -1 13
338 -2 13
339 -3 13
340 -4 13
341 -5 13
342 -6 13
343 -7 13
344 -8 13
345 -9 13
346 -10 13
347 -11 13
348 -12 13
349 -13 13
350 -14 13
351 -14 12
352 -14 11
353 -14 10
354 -14 9
355 -14 8
356 -14 7
357 -14 6
358 -14 5
359 -14 4
360 -14 3
361 -14 2
362 -14 1
363 -14 0
364 -14 -1
365 -14 -2
366 -14 -3
367 -14 -4
368 -14 -5
369 -14 -6
370 -14 -7
371 -14 -8
372 -14 -9
373 -14 -10
374 -14 -11
375 -14 -12
376 -14 -13
377 -14 -14
378 -13 -14
379 -12 -14
380 -11 -14
381 -10 -14
382 -9 -14
383 -8 -14
384 -7 -14
385 -6 -14
386 -5 -14
387 -4 -14
388 -3 -14
389 -2 -14
390 -1 -14
391 0 -14
392 1 -14
393 2 -14
394 3 -14
395 4 -14
396 5 -14
397 6 -14
398 7 -14
399 8 -14
400 9 -14
401 10 -14
402 11 -14
403 12 -14
404 13 -14
405 14 -14
406 14 -13
407 14 -12
408 14 -11
409 14 -10
410 14 -9
411 14 -8
412 14 -7
413 14 -6
414 14 -5
415 14 -4
416 14 -3
417 14 -2
418 14 -1
419 14 0
420 14 1
421 14 2
422 14 3
423 14 4
424 14 5
425 14 6
426 14 7
427 14 8
428 14 9
429 14 10
430 14 11
431 14 12
432 14 13
433 14 14
434 14 15
435 13 15
436 12 15
437 11 15
438 10 15
439 9 15
440 8 15
441 7 15
442 6 15
443 5 15
444 4 15
445 3 15
446 2 15
447 1 15
448 0 15
449 -1 15
450 -2 15
451 -3 15
452 -4 15
453 -5 15
454 -6 15
455 -7 15
456 -8 15
457 -9 15
458 -10 15
459 -11 15
460 -12 15
461 -13 15
462 -14 15
463 -15 15
464 -16 15
465 -16 14
466 -16 13
467 -16 12
468 -16 11
469 -16 10
470 -16 9
471 -16 8
472 -16 7
473 -16 6
474 -16 5
475 -16 4
476 -16 3
477 -16 2
478 -16 1
479 -16 0
480 -16 -1
481 -16 -2
482 -16 -3
483 -16 -4
484 -16 -5
485 -16 -6
486 -16 -7
487 -16 -8
488 -16 -9
489 -16 -10
490 -16 -11
491 -16 -12
492 -16 -13
493 -16 -14
494 -16 -15
495 -16 -16
496 -15 -16
497 -14 -16
498 -13 -16
499 -12 -16
500 -11 -16
501 -10 -16
502 -9 -16
503 -8 -16
504 -7 -16
505 -6 -16
506 -5 -16
507 -4 -16
508 -3 -16
509 -2 -16
510 -1 -16
511 0 -16
512 1 -16
513 2 -16
514 3 -16
515 4 -16
516 5 -16
517 6 -16
518 7 -16
519 8 -16
520 9 -16
521 10 -16
522 11 -16
523 12 -16
524 13 -16
525 14 -16
526 15 -16
527 16 -16
528 16 -15
529 16 -14
530 16 -13
531 16 -12
532 16 -11
533 16 -10
534 16 -9
535 16 -8
536 16 -7
537 16 -6
538 16 -5
539 16 -4
540 16 -3
541 16 -2
542 16 -1
543 16 0
544 16 1
545 16 2
546 16 3
547 16 4
548 16 5
549 16 6
550 16 7
551 16 8
552 16 9
553 16 10
554 16 11
555 16 12
556 16 13
557 16 14
558 16 15
559 16 16
560 16 17
561 15 17
562 14 17
563 13 17
564 12 17
565 11 17
566 10 17
567 9 17
568 8 17
569 7 17
570 6 17
571 5 17
572 4 17
573 3 17
574 2 17
575 1 17
576 0 17
577 -1 17
578 -2 17
579 -3 17
580 -4 17
581 -5 17
582 -6 17
583 -7 17
584 -8 17
585 -9 17
586 -10 17
587 -11 17
588 -12 17
589 -13 17
590 -14 17
591 -15 17
592 -16 17
593 -17 17
594 -18 17
595 -18 16
596 -18 15
597 -18 14
598 -18 13
599 -18 12
600 -18 11
601 -18 10
602 -18 9
603 -18 8
604 -18 7
605 -18 6
606 -18 5
607 -18 4
608 -18 3
609 -18 2
610 -18 1
611 -18 0
612 -18 -1
613 -18 -2
614 -18 -3
615 -18 -4
616 -18 -5
617 -18 -6
618 -18 -7
619 -18 -8
620 -18 -9
621 -18 -10
622 -18 -11
623 -18 -12
624 -18 -13
625 -18 -14
626 -18 -15
627 -18 -16
628 -18 -17
629 -18 -18
630 -17 -18
631 -16 -18
632 -15 -18
633 -14 -18
634 -13 -18
635 -12 -18
636 -11 -18
637 -10 -18
638 -9 -18
639 -8 -18
640 -7 -18
641 -6 -18
642 -5 -18
643 -4 -18
644 -3 -18
645 -2 -18
646 -1 -18
647 0 -18
648 1 -18
649 2 -18
650 3 -18
651 4 -18
652 5 -18
653 6 -18
654 7 -18
655 8 -18
656 9 -18
657 10 -18
658 11 -18
659 12 -18
660 13 -18
661 14 -18
662 15 -18
663 16 -18
664 17 -18
665 18 -18
666 18 -17
667 18 -16
668 18 -15
669 18 -14
670 18 -13
671 18 -12
672 18 -11
673 18 -10
674 18 -9
675 18 -8
676 18 -7
677 18 -6
678 18 -5
679 18 -4
680 18 -3
681 18 -2
682 18 -1
683 18 0
684 18 1
685 18 2
686 18 3
687 18 4
688 18 5
689 18 6
690 18 7
691 18 8
692 18 9
693 18 10
694 18 11
695 18 12
696 18 13
697 18 14
698 18 15
699 18 16
700 18 17
701 18 18
702 18 19
703 17 19
704 16 19
705 15 19
706 14 19
707 13 19
708 12 19
709 11 19
710 10 19
711 9 19
712 8 19
713 7 19
714 6 19
715 5 19
716 4 19
717 3 19
718 2 19
719 1 19
720 0 19
721 -1 19
722 -2 19
723 -3 19
724 -4 19
725 -5 19
726 -6 19
727 -7 19
728 -8 19
729 -9 19
730 -10 19
731 -11 19
732 -12 19
733 -13 19
734 -14 19
735 -15 19
736 -16 19
737 -17 19
738 -18 19
739 -19 19
740 -20 19
741 -20 18
742 -20 17
743 -20 16
744 -20 15
745 -20 14
746 -20 13
